sentence,names
But let us drink and make a start on this lamb.,[]
"""
""Good idea.",[]
"""
Still concerned for their figures, the Zerrikanians had taken a break from eating to devote themselves to drinking at an accelerated pace.",['Zerrikanians']
"Vea leaned on the shoulder of her companion, and murmured something in her ear, her braids brushing the tabletop.",['Vea']
"Tea, the shorter of the two, burst into laughter, her tattooed eyelids blinking merrily.
",['two']
"""Well,"" continued Borch, gnawing on a bone.",['Borch']
"""Let us continue our conversation, if you'll permit.",[]
I see that prefer not to take sides in the conflict between the forces.,[]
You just want to do your job.,[]
"""
""Yes.""",[]
"""But you cannot escape the conflict between Order and Chaos.",['Order']
"In spite of your comparison, you're not a blacksmith.",[]
"I saw how you work; you enter an underground tunnel and come out of it with a small, mangled basilisk.",[]
"There is a difference, my pretty, between shoeing horses
8
and killing basilisks.",['8']
You've already indicated that you'll journey to the other side of the world to slay a certain monster if the pay is worth it.,[]
"Let's say a fierce dragon destroys..."" ""Bad example,"" interrupted Geralt.",['Geralt']
"""You see, the boundary becomes blurred already.",[]
"I don't kill dragons, in spite of the fact they no doubt represent Chaos.""",['Chaos']
"""Why is that?""",[]
"Three Jackdaws licked his fingers, ""But that's outrageous!",['Three Jackdaws']
"Surely of all the monsters, the dragon is the most dangerous, vicious and cruel.",[]
Most terrible of all the reptiles.,[]
"It attacks humans, spits fire and it even steals virgins!",[]
Haven't you heard enough stories about that?,[]
"Is it possible that you, witcher, do not have a few dragon slayings in your list of accomplishments?""",[]
"""I do not hunt dragons,"" Geralt replied dryly, ""Giant centipedes, yes.",['Geralt']
"Dracolizards, dermopterans but not real dragons, greens, blacks or reds.",['dermopterans']
"Make no mistake about it.""",[]
"""You astonish me,"" replied Three Jackdaws, ""But nevertheless, I get the message.",['Three Jackdaws']
Enough talking about dragons for now.,[]
I see something red on the horizon; undoubtedly our crayfish.,[]
"Drink up!""",[]
They noisily broke the shells with their teeth and sucked out the white flesh.,[]
"Salty water, stinging painfully, ran down to their wrists.",[]
"Borch served up some more beer, scraping the bottom of the small cask with the ladle, while the Zerrikanians amused themselves by watching the goings on around them.","['Borch', 'Zerrikanians']"
They laughed unpleasantly at a soothsayer on the next table over and the witcher was convinced that they were looking for a fight.,[]
Three Jackdaws also noticed it and waved a crayfish at them threateningly.,['Three']
"The girls giggled, Tea blowing him a kiss and giving him an ostentatious wink.",[]
Her tattoos made the gesture slightly macabre.,[]
"""They truly are wildcats,"" murmured Three Jackdaws to Geralt.",['Three Jackdaws to Geralt']
"""They must be watched all the time otherwise, in less than two seconds flat and without warning, the ground is likely to be strewn with entrails.",['less than two seconds']
"However, they are worth all the money in the world.",[]
"Did you know that they can..?""",[]
"""I know,"" replied Geralt, nodding.",['Geralt']
"""It is difficult to find a better escort.",[]
"Zerrikanians are born warriors, trained in combat from a very early age.""",['a very early age']
"""I wasn't talking about that.""",[]
Borch spat a crayfish pincer onto the table.,['Borch']
"""I was thinking about their performance in bed.""",[]
Geralt watched the young girls out of the corner of his eye.,['Geralt']
"Both smiled and Vea seized a shellfish, as quick as a flash.",['Vea']
She cracked the carapace with her teeth and blinked as she regarded the witcher.,[]
Her lips glistened with the salty water.,[]
Three Jackdaws belched loudly.,['Three']
"""So, Geralt,"" he continued, ""you don't hunt dragons, green or otherwise.",['Geralt']
I'll bear it in mind.,[]
"Why categorise them by these three colours, may I ask?""",['three']
"""Four colours, to be precise.""",['Four']
"""You only mentioned three.""",['three']
"""You seem to have a great interest in dragons, Borch.",['Borch']
Is there a particular reason?,[]
"""
9
""I'm just curious.""",['9']
"""These colours are the customary categorisation, although not a precise one.",[]
"Green dragons are most widespread though in fact they are rather gray, like dracolizards.",[]
"To tell you the truth the reds are more red brown, the colour of brick.",[]
The large dark brown dragons are usually called black dragons.,[]
Rarest of all are the white dragons.,[]
I've never seen one.,[]
"They live in the far North, apparently.""",['North']
"""Interesting.",[]
"Do you know what other types of dragons I've heard of?""",[]
"""I know,"" replied Geralt, swallowing a mouthful of beer.",['Geralt']
"""I've also heard of them: the gold.",[]
"But they don't exist.""",[]
"""But how can you be sure?",[]
Just because you've never seen one?,[]
"You've never seen a white one either.""",[]
"""That's not the point.",[]
"Across the seas, in Ofir and Zangwebar, there are white horses with black stripes.","['Ofir', 'Zangwebar']"
"I've never seen those either, but I know that they exist.",[]
"The golden dragon is a myth, a legend, like the phoenix.",[]
"Phoenixes and golden dragons do not exist.""",[]
"Vea, leaning on her elbows, looked at him curiously.",[]
"""You certainly know what you're talking about - you're a witcher,"" said Borch drawing some more beer from the small keg.",['Borch']
"""However, I think any myth, any legend, can contain a grain of truth that sometimes can't be ignored.""",[]
"""That is so,"" confirmed Geralt, ""but that is the territory of dreams, hopes and desires: it's about the belief that there is no limit to what is possible, just because there is sometimes a wild chance that it might be true.""",['Geralt']
"""Chance, exactly.",[]
"It may be there once was a golden dragon; the product of a single, unique mutation.""",[]
"""If that's the case, that dragon would've suffered the fate of all mutants,"" the witcher bowed his head.",[]
"""It couldn't survive, because it's too different.""",[]
"""Now you oppose natural law, Geralt.",['Geralt']
My wizard friend was in the habit of saying that each and every being can prevail in nature in one manner or another.,['one']
The end of one existence always announces the beginning of another.,['one']
"There is no limit, at least when it comes to nature.""",[]
"""Your wizard friend was a huge optimist.",[]
There is one element he didn't take into consideration; errors made by nature or those that play with it.,['one']
"The golden dragon and all the other mutants of its species, even if they have existed, could not survive.",[]
"A natural limit inherent in them has prevented it.""",[]
"""What's that?""",[]
"""Mutants..."" the muscles in Geralt's jaw tensed, ""Mutants are sterile, Borch.","['Geralt', 'Borch']"
Only legends permit what nature condemns.,[]
Only myths can ignore the limits of what's possible.,[]
"""
10
Three Jackdaws remained silent.","['10', 'Three Jackdaws']"
Geralt saw that the girls' faces had suddenly become serious.,[]
"Vea quickly leaned towards him, embracing him with her hard, muscular arms.",[]
"He felt her lips on his cheek, wet with beer.",[]
"""They like you,"" said Three Jackdaws slowly, ""The devil take it, they like you!""",['Three Jackdaws']
"""What's so strange about that?"" replied the witcher, smiling sadly.",[]
"""Nothing.",[]
But a toast is necessary.,[]
Landlord!,['Landlord']
"Another keg!""",[]
"""Not that much.",[]
"A tankard at most.""",[]
"""Make that two tankards!"" shouted Three Jackdaws.","['two', 'Three Jackdaws']"
"""Tea, I must leave for a moment.""",[]
The Zerrikanian picked up her sabre from the bench as she rose before inspecting the room with a tired glance.,['Zerrikanian']
"The witcher noticed several pairs of eyes sparkle with greed at the sight of Borch's overstuffed coin-purse, but nobody dared to follow him as he staggered in the direction of the courtyard.",['Borch']
Tea shrugged before following her employer.,[]
"""What's your real name?"" asked Geralt of the girl who remained sitting at the table.",['Geralt']
"Vea smiled revealing a line of white teeth, much of her shirt was unbuttoned as far as the last possible limit of decency allowed.",['Vea']
Geralt did not doubt for an instant that her demeanour was designed to test the resistance of the other patrons in the room.,['Geralt']
"""Alveaenerle.""",['Alveaenerle']
"""That's beautiful.""",[]
"The witcher was sure that the Zerrikanian now gazed at him doe-eyed, seductively.",['Zerrikanian']
He was not mistaken.,[]
"""Vea?"" ""Hmm..."" ""Why do you ride with Borch?",['Borch']
Warriors love of freedom.,[]
"Can you tell me?""",[]
"""Hmm..."" ""Hmm, what?"" ""He is..."" the Zerrikanian wrinkled her brow while she tried to find the right words, ""He is the most... the most beautiful.""","['Hmm', 'Zerrikanian']"
The witcher shook his head.,[]
The criteria used by women to assess the desirability of men had always been an enigma to him.,[]
Three Jackdaws burst into the alcove re-buttoning his trousers and gave a loud command to the landlord.,['Three']
"Tea, two steps behind him, feigned boredom as she looked around the tavern, the merchants and the mariners present avoiding her eyes.",['two']
Vea sucked at a crayfish while casting the witcher knowing glances.,[]
"""I'll have another order of eel for everyone, braised this time,"" Three Jackdaws sat down heavily, his still open belt jangled.",['Three Jackdaws']
"""I'm tired of crayfish",[]
and I'm still hungry.,[]
"I have reserved
11
you a room, Geralt.","['11', 'Geralt']"
You have no reason to be wandering this night.,['this night']
Let's have some more fun.,[]
"To your health, girls!""",[]
"""Vessekheal,"" Vea replied, holding up her glass.",[]
Tea blinked and stretched.,[]
"Her lovely breasts, contrary to Geralt's expectations, did not burst out of her shirt.",['Geralt']
"""Let's have some fun!""",[]
"Three Jackdaws leaned across the table, and slapped Tea on the behind, ""Let's party, witcher, Hey! Landlord!","['Three Jackdaws', 'Landlord']"
"Over here!""",[]
"The landlord quickly approached them, wiping his hands on his apron.",[]
"""Do you have a large tub?",[]
"Like one for washing linen in: solid and roomy.""",[]
"""How big, sir?""",[]
"""For four people.""",['four']
"""For... four,"" repeated the landlord smiling widely.",['four']
"""Four,"" confirmed Three Jackdaws, pulling his full coin-purse out of his pocket.","['Four', 'Three Jackdaws']"
"""We'll find one for you,"" promised the landlord as he moistened his lips.",[]
"""Perfect,"" replied Borch, all smiles.",['Borch']
"""Order one and bring it up into my room and see that it's filled with hot water.",['Order one']
"Get to it, my dear chap, and don't forget beer and at least three tankards.""",['at least three']
The Zerrikanians laughed and winked at the witcher.,['Zerrikanians']
"""Which do you prefer?"" asked Three Jackdaws.",['Three Jackdaws']
"""Huh, Geralt?""","['Huh, Geralt']"
The witcher scratched his head.,[]
"""I know it's a difficult choice,"" continued Three Jackdaws with a knowing air.",['Three Jackdaws']
"""I also have trouble sometimes.",[]
"Well, we will decide when we're in the tub.",[]
"Hey, girls!",[]
"Help me up the stairs.""",[]
III There was a barricade on the bridge.,[]
A long and solid beam positioned on trestles barred access to the other bank of the river.,[]
"Halberdiers in buttoned leather jackets and mail were gathered there, standing guard on both sides.",[]
"Aloft, a crimson pennant bearing a silver griffin flapped in the wind.",['Aloft']
"""What the devil?"" exclaimed Three Jackdaws as they approached the barricade.",['Three Jackdaws']
"""We can't pass?""",[]
"""Do you have a pass?"" asked the nearest halberdier, without removing from his mouth the straw he was chewing to stave off hunger or quite simply to kill time.",[]
"""What pass?",[]
What's going on?,[]
An epidemic of cattle plague?,[]
War?,[]
"In whose name do you block the road?""",[]
"""On the order of King Niedamir, Lord of Caingorn.""",['King Niedamir']
the guard moved the straw to the other corner of his mouth and indicated to the pennant.,[]
"""Without safe conduct, you cannot pass.",[]
"""
12
""How stupid,"" interrupted Geralt in a tired voice.","['12', 'Geralt']"
"""We are not, however, in Caingorn but in the county of Holopole.","['Caingorn', 'Holopole']"
It's just as well that Holopole and not Caingorn collects the toll on the bridges of the Braa.,"['Holopole', 'Braa']"
"What's it got to do with Niedamir?"" ""Don't ask me,"" replied the guard, spitting out his straw.",['Niedamir']
"""I'm only here to check the passes, if you want, you can ask our commanding officer.""",[]
"""Where is he?""",[]
"""Over there, making the most of the sun behind the toll collector's booth,"" replied the guard, looking not at Geralt but at the naked thighs of the Zerrikanians which lay nonchalantly across their saddles.","['Geralt', 'Zerrikanians']"
A guard was sitting on a pile of dry straw behind the hut of the toll collector.,[]
"He was drawing in the sand, with the end of his halberd, a picture of a woman; a rather detailed view from an unusual perspective.",[]
"Next to him there was a thin man, half dozing, delicately strumming chords on a lute.",['half']
An eccentric plum coloured hat decorated with a silver buckle and a long egret feather drooped over his eyes.,[]
"Geralt recognized the hat and the feather so famous in Buina and Iaruga and known in all the manors, castles, guesthouses, inns and brothels.","['Geralt', 'Buina', 'Iaruga']"
Especially in the brothels.,[]
"""Jaskier!""",['Jaskier']
"""Witcher Geralt!""","['""Witcher Geralt']"
merry blue eyes appeared from under the hat.,[]
"""What a surprise!",[]
Is it really you?,[]
"You wouldn't happen to have a pass, by chance?",[]
"""What's all this business about passes?",[]
"What's going on here, Jaskier?",['Jaskier']
"I'm travelling with the knight Borch of the Three Jackdaws and his escort and we want to cross the river.""",['Borch']
"""I'm also stuck here.""",[]
Jaskier rose and lifted his hat before bowing to the Zerrikanians with a courtly flourish.,"['Jaskier', 'Zerrikanians']"
"""They won't let me pass either, me, Jaskier, the most celebrated of minstrels and poets for a thousand miles around.","['Jaskier', 'a thousand miles']"
"It was the lieutenant who refused; and he's also an artist, as you can see.""",[]
"""I can't let anyone cross without a pass,"" stated the lieutenant with a disconsolate air before adding the finishing touches to his sand picture with the tip of his weapon.",[]
"""We'll take a detour along the bank.",[]
"It will take longer to get to Hengfors, but we don't have much choice,"" said the witcher.",['Hengfors']
"""To Hengfors?"" the bard looked surprised, ""You mean you're not here to see Niedamir?",['Niedamir']
"You're not hunting the dragon?""",[]
"""What dragon?"" asked Three Jackdaws, looking intrigued.",['Three Jackdaws']
"""You don't know?",[]
You really don't know?,[]
"In that case, I shall tell you all about it, my lords.",[]
"As I am obliged to wait here in the hope that somebody with a pass accepts my company, we have lots of time.",[]
"Sit down.""",[]
"""Wait,"" interrupted Three Jackdaws, ""It's nearly midday and I'm thirsty, plague on it!","['Three Jackdaws', 'nearly midday']"
We can't discuss such matters with dry throats.,[]
"Tea and Vea, hurry back to town and buy a keg.""",[]
"""I like the way you think, lord...""
13
""Borch, also called Three Jackdaws.""","['13', 'Borch', 'Three Jackdaws']"
"""Jaskier, nicknamed The Unrivalled... by certain young ladies.""",['Jaskier']
"""Get on with it, Jaskier,"" interrupted the witcher, impatient.",['Jaskier']
"""We haven't got all day.""",['all day']
The bard seized the neck of his lute and violently strummed some chords.,[]
"""What would you prefer?",[]
"In verse or in prose?"" ""Normally.""",[]
"""As you like.""",[]
Jaskier did not lay down his lute.,['Jaskier']
"""Listen well, noble sirs, the events took place one week ago, not far from a free city named Holopole.","['one week ago', 'Holopole']"
"Ah yes, in the small hours of the morning, dawn tinting red the veil of mist in the meadows...""",['hours of the morning']
"""It was supposed to be normally,"" the witcher pointed out.",[]
"""That is normally, isn't it?",[]
"Okay, okay, I understand.",[]
"Briefly, without metaphors.",[]
"Near the town of Holopole, a dragon alit.""",['Holopole']
"""Oh really?"" exclaimed the witcher, ""That seems incredible - nobody has seen a dragon in these parts for years.",['years']
Isn't it just a dracolizard?,[]
"Some of them can be quite big..."" ""Don't insult me, witcher, I know what it is.",[]
I've seen it.,[]
By chance I just came to Holopole for the market and I saw it with my own eyes.,['Holopole']
"My ballad was already prepared, but you didn't want...""",[]
"""Carry on.",[]
"Is it big?""",[]
"""It's as long as three horses, to the withers no bigger than a horse, but much fatter.",['three']
"Gray as sand.""",[]
"""Green, then.""",[]
"""Yes.",[]
It swooped down without warning on a herd of sheep.,[]
"The shepherds ran away and it killed a dozen animals and ate four of them before taking flight.""","['a dozen', 'four']"
"""It flew away...""",[]
Geralt nodded his head.,['Geralt']
"""That's it?""",[]
"""No, it returned the next morning, nearer to the city this time.",['the next morning']
It dived down onto a group of women who were washing their linen at the edge of the Braa.,['Braa']
"And did they run, my friend!",[]
I have never laughed so much in my life.,[]
Then the dragon executed two turns above Holopole before attacking some ewes in a nearby pasture.,"['two', 'Holopole']"
What a lot of panic and confusion it started!,[]
"The day before, well, nobody had believed the shepherds... the burgrave then started to mobilise a militia and the guilds, but before he had time to organize them, the people had taken matters into their own hands and sorted it out themselves.""",['The day']
"""How?"" ""With a very popular method.",[]
"The master shoe-maker, a certain Kozojed, conceived of a means to finish off the reptile.",['Kozojed']
"They killed a sheep then stuffed it full of hellebore, belladonna, hemlock, sulphur and shoemaker's pitch.",[]
"To be on the safe side, the local
14
pharmacist added two quarts of boil remedy and had the priest of the Temple of Kreve bless the offering.","['14', 'two', 'the Temple of Kreve']"
Then they staked the stuffed sheep in the middle of the herd.,[]
"To tell you the truth, nobody believed that the dragon would be attracted by one stinking piece of shit surrounded by a thousand others.","['one', 'thousand']"
But reality exceeded our expectations.,[]
"Forsaking the sheep that were alive and bleating, the reptile swallowed the bait along with the stake.""",[]
"""What then?",[]
"Tell me more, Jaskier.""",['Jaskier']
"""What else can I do?",[]
I'm not going to stop now.,[]
Listen to the rest: barely enough time had passed for a skilful man to untie the corset of a lady when the dragon started roaring and emitting smoke from both front and behind.,[]
"Next it did a somersault, tried to fly away and then fell down motionless.",[]
Two volunteers approached it to check if it still breathed.,['Two']
